model,dataset,id,input,expected_output,generated_output
phi-1_5,factual,fact_0022,"A mouse is being hunted by a Great Horned Owl. The owl watches the mouse carefully, and the mouse is unaware that it is being hunted. The mouse is unable to tell where the owl is, because",the owl matches its background,The mouse was oblivious of the owl's presence due to its lack of awareness or knowledge about the predator lurking nearby.
phi-1_5,factual,fact_0023,You would use a seismometer if,A mysterious rumble off the coast of Japan,to measure earthquakes.
phi-1_5,factual,fact_0024,Many animals that give birth to live young have,legs,legs.
phi-1_5,factual,fact_0025,A child will only grow if they are provided with,energy,food.
phi-1_5,factual,fact_0026,"Every twenty-four hours and fifty minutes, the moon can have an effect on bodies of water causing them to",swell,The lunar cycle affects tides.
phi-1_5,factual,fact_0027,The many trees on a forest floor,"broke, passed, will decay",leaves.
phi-1_5,factual,fact_0028,"A car is driving on a highway trying to get up the the speed limit. However, there are strong winds hitting the windshield of the car. Even though the driver is trying to speed up, the high winds",conflict with the driver's goal,The wind's force opposes the motion and slows down the car even if it wants to go faster than usual due to its resistance against air molecules moving at different speeds through space-time continuum (Template 3).
phi-1_5,factual,fact_0029,"a student leaves a nail line on a mineral sample, so that mineral can be described as what?",a soft mineral,streak.
phi-1_5,factual,fact_0030,"An example of a chemical change is acid breaking down substances, another is",lemon juice added to milk,Acid breaks down substances.
phi-1_5,factual,fact_0031,Matter in the gas phase has,fluctuating volume,less definite volume.
phi-1_5,factual,fact_0032,an example of an excellent earth mover is,annelids,a bulldozer.
phi-1_5,factual,fact_0033,Which animal gives birth to live young?,Giraffe,A human.
phi-1_5,factual,fact_0034,"As a plant's roots get bigger, they split apart",granite,The root system of the plants gets larger.
phi-1_5,factual,fact_0035,"In the wilderness, light pollution is?",less,a decrease.
phi-1_5,factual,fact_0036,Water vapor is an example of what?,moistness,Gas.
phi-1_5,factual,fact_0037,Heat and moisture in the ocean is a good recipe for,a violent storm,hurricanes.
phi-1_5,factual,fact_0038,"if the boiling point of water is attained, what ensues beyond this point?",the water turns evaporates rapidly,The liquid turns into a gas.
phi-1_5,factual,fact_0039,What is the most likely to be an effect of acid rain on an aquatic environment?,decrease in plant life,a decrease in plant life.
phi-1_5,factual,fact_0040,When the moon is full is has a different,appearance,The sun rises when it's day.
phi-1_5,factual,fact_0041,What happens when a hemisphere is tilted away from the sun?,cools,The temperature decreases.
phi-1_5,factual,fact_0042,One renewable fuel source is,vegetable oil,solar power.
phi-1_5,factual,fact_0043,I can use electrical energy to,bake a bagel,To power a light bulb.
phi-1_5,factual,fact_0044,On the list of a flower's goals would be to,produce offspring,bloom.
phi-1_5,factual,fact_0045,"A person wants to buy some reusable equipment for the kitchen, so they get",ceramic plates,a set of stainless steel pots and pans.
phi-1_5,factual,fact_0046,The only stage of the water cycle process that is nonexistent is,evaluation,evaporation.
phi-1_5,factual,fact_0047,which of these would more likely survive?,"a lost dog by the river, with small rodents",a plant that needs sunlight to grow.
phi-1_5,factual,fact_0048,The moon's surface,contains large cavities cause by explosions,rocky.
phi-1_5,factual,fact_0049,Greenhouses,protect plants from snow and frost,A structure used to house plants during freezing conditions.
phi-1_5,factual,fact_0050,Earth rotating causes,the cycling of AM and PM,day and night.
phi-1_5,factual,fact_0051,which one of these can help a person cook their food?,a counter cooker appliance,an oven.
phi-1_5,factual,fact_0052,Sunlight produces heat that causes,warmth on bodies,warmth.
phi-1_5,factual,fact_0053,with which could you tell the exact size of an object?,a plastic tape with graduated markings,a ruler.
phi-1_5,factual,fact_0054,Which would be the result of the breeding of two wolves?,wolf pups,Wolf pups.
phi-1_5,factual,fact_0055,Scales,help users know if they need to drop some lbs.,A scale measures weight.
phi-1_5,factual,fact_0056,"When producers create food in an ecosystem, a portion of the nutrients are",carbs,energy is transferred to consumers.
phi-1_5,factual,fact_0057,Two ships grazing each other as they pass will,slow them down,slow down.
phi-1_5,factual,fact_0058,A battery converts chemical energy into,energy stored due to the relative positions of charged particles or electric fields,electrical.
phi-1_5,factual,fact_0059,The leaves of a plant benefit from?,sun,Photosynthesis.
phi-1_5,factual,fact_0060,Quartz may produce rainbows when light is shined,through any of its sides,"When quartz refracts and reflects sunlight, it can create a rainbow effect."
phi-1_5,factual,fact_0061,"A woman is digging under a tree on a tall mountain. She is looking for interesting rocks, and a foot down into the soil, discovers a fossilized fish skeleton. From this discovery, the woman is able to determine that",the mountain used to be underwater,The presence of fossils in sedimentary rock layers indicates past life forms.
phi-1_5,factual,fact_0062,Which animal lacks the ability to see by sensing light?,Southern cave crayfish,blind.
phi-1_5,factual,fact_0063,Which animal emits something that many autistic people would be extra sensitive to?,skunk,Dogs.
phi-1_5,factual,fact_0064,which of these usually occur over the shortest period?,a super size earthquake,earthquakes.
phi-1_5,factual,fact_0065,If the sun has set it is,harder to see outside,night.
phi-1_5,factual,fact_0066,A magnifying glass,would allow the user to better view the legs on an ant,a tool that enlarges small objects.
phi-1_5,factual,fact_0067,What do rotating vanes on an electric fan do to air?,circulate,They circulate the air.
phi-1_5,factual,fact_0068,An animal would have its inner parts better protected if it had which of these?,a calcium fortified internal structure,a calcium fortified internal structure.
phi-1_5,factual,fact_0069,Plants require this to grow,H2O,sunlight.
phi-1_5,factual,fact_0070,Renewable resources,can be used ad infinitum,Resources that can be replenished.
phi-1_5,factual,fact_0071,a day hiking will most likely result in which of these?,an even darker tone,exhaustion.
phi-1_5,factual,fact_0072,Refraction,makes a straw appear broken when in a cup of water,The bending of light when it passes from air to water.
phi-1_5,factual,fact_0073,which of these can be considered a stage in the water cycle?,the presence of H20,evaporation.
phi-1_5,factual,fact_0074,Which of these items is required for a deer to live,sun,food.
phi-1_5,factual,fact_0075,Where is the best place to shoot animals?,forest,The forest.
phi-1_5,factual,fact_0076,Spiders can catch prey by doing all aside from,howling,spinning webs.
phi-1_5,factual,fact_0077,When does electricity flow through a conductor?,when it's attached to a battery,Electricity flows through conductors.
phi-1_5,factual,fact_0078,I can use a stopwatch to track,how many marshmallows I can eat in 10 minutes,To measure time accurately.
phi-1_5,factual,fact_0079,"If John were going to the store, how would he measure his trip?",kilometer,Kilometers.
phi-1_5,factual,fact_0080,A man plugs his television into an outlet behind a cabinet. He sees that the television may now be turned on so that he can watch his favorite show. The man knows that by hooking the t.v. cord into the outlet,he completed a circuit,"By plugging it, you completed what circuit?"
phi-1_5,factual,fact_0081,Which type of energy is the most environmentally friendly?,Sunlight,Renewable.
phi-1_5,factual,fact_0082,Which form can be made into a triangle?,ice,A cube.
phi-1_5,factual,fact_0083,who would see better through an underground tunnel?,a man with a candle and match,a person with night vision goggles.
phi-1_5,factual,fact_0084,There are now many more people because of,efficient farming,Because there is a large population.
phi-1_5,factual,fact_0085,Water in a sealed jar might do what when placed in the freezer?,break it,expand.
phi-1_5,factual,fact_0086,What causes a chemical reaction?,mixing and heating edible items,A change that occurs when two or more substances combine to form new substances.
phi-1_5,factual,fact_0087,What stores food for future use and is green?,tree,Storing.
phi-1_5,factual,fact_0088,Filling a bottle full of water and then placing it in the freezer can lead to,bursting of the bottle,condensation.
phi-1_5,factual,fact_0089,What functions without contact between objects?,opposites attracting,Gravity.
phi-1_5,factual,fact_0090,Which doesn't contain water?,Sea of Tranquilitiy,A brick.
phi-1_5,factual,fact_0091,Fungi,can do their food chain jobs without ingestion,The organisms that break down dead plant and animal material.
phi-1_5,factual,fact_0092,"Compared to a regular swimmer, a scuba diver deals with more",pressure,More pressure.
phi-1_5,factual,fact_0093,What is an example of the fact that a thing is dead once it dies after having previously lived?,a vibrant cat is deceased after being hit by a car,A tree.
phi-1_5,factual,fact_0094,Thunder clouds are,of a significant weight,cumulonimbus.
phi-1_5,factual,fact_0095,If someone is experiencing frequent falls,they should try putting down carpet or throw rugs,They may have a balance disorder.
phi-1_5,factual,fact_0096,It is easiest to get a clear photo of the moon by,using a telescopic lens,Looking through binoculars.
phi-1_5,factual,fact_0097,Filling a glass with markers for cup amounts on it would be,a way to collect data,using markers to fill the glass.
phi-1_5,factual,fact_0098,Winter snows follow Autumn's falling leaves by,three months,seasons.
phi-1_5,factual,fact_0099,The way that squirrels put away food during the cool season ensures that they,survive,They store it.
phi-1_5,factual,fact_0100,An example of a consumer would be,a deer munching grass,A person who buys and uses goods or services.
phi-1_5,factual,fact_0101,Eating and digesting a large meal is guaranteed to produce,fecal matter,waste.
phi-1_5,factual,fact_0102,"Canyons are generally old, huge, and breathtaking and are",typically materialized with stone,canyons.
phi-1_5,factual,fact_0103,"If a room is going to be humid, or dry, depends on how much water vapor is in the air, so if a room wants to be humid",run a bath,humidity.
phi-1_5,factual,fact_0104,What impacts an objects ability to reflect light?,color pallete,The color of the object.
phi-1_5,factual,fact_0105,which of these would make an ideal object to drive in with a hammer?,all of these,A nail.
phi-1_5,factual,fact_0106,local plant varieties are the best for improving the local,environs,Local plants.
phi-1_5,factual,fact_0107,Electricity sent through a conductor,moves like traffic through a green light,Electrons.
phi-1_5,factual,fact_0108,"The sun is a source of which, first and foremost?",Light,light.
phi-1_5,factual,fact_0109,Where in the world will a person have the smallest shadow at noon?,near the equator,Near equator.
phi-1_5,factual,fact_0110,Oil is a source of a material used for an object with,wheels,fuel.
phi-1_5,factual,fact_0111,A magnet would attract a,Zippers,metal.
phi-1_5,factual,fact_0112,What sort of habitat would living things live in?,A habitat with plenty of water,A place with plenty of water.
phi-1_5,factual,fact_0113,"A person finishes drinking a bottle of water and notices that at the bottom of the bottle is a small symbol, consisting of three arrows in a triangular shape. This symbol tells the person that they should",have it reprocessed,recycle it!
phi-1_5,factual,fact_0114,"In order to better understand the world around us, specialists","inspect, note, and consider",They study and analyze data.
phi-1_5,factual,fact_0115,"A woman leaves some meat on the counter, and bacteria begins to quickly grow on the surface. This bacteria may cause",turned food,food poisoning
phi-1_5,factual,fact_0116,Stars appear in different areas in the sky at different times of year due to what?,Earths Rotation,Earth's rotation.
phi-1_5,factual,fact_0117,Corn can sometimes,fuel an economy car,"""Corn is a type of grain."""
phi-1_5,factual,fact_0118,strumming a string can cause what type of wave?,Pressure,sound waves.
phi-1_5,factual,fact_0119,Coral is a type of living organism which can be identified in,saltwater locations that are open,coral.
phi-1_5,factual,fact_0120,"Having reliable plant sources in a field, a rabbit may react by",having larger litters,hopping.
phi-1_5,factual,fact_0121,The layer of material on the bottom of the Snake River was put there by what?,weather related degradation,weathering.
phi-1_5,factual,fact_0122,"Which converts carbon dioxide, water, and solar energy into oxygen?",chrysanthemum,Photosynthesis.
phi-1_5,factual,fact_0123,December is in the summer in what,the southern part of the third rock,Southern Hemisphere.
phi-1_5,factual,fact_0124,Trembling muscles spasms in animals can be caused in party by,temperature in single digits,stress or anxiety.
phi-1_5,factual,fact_0125,The number of lines found in a tree bore will tell you?,the age,the age.
phi-1_5,factual,fact_0126,Hummingbirds take what with them,Pollen,Pollen.
phi-1_5,factual,fact_0127,To naturally increase the amount of organic matter in soil add,fungi,compost.
phi-1_5,factual,fact_0128,Peat is an important factor when,Putting a fresh raspberry seed in soil,a. A material used to make pottery and bricks
phi-1_5,factual,fact_0129,"When a bird is living in a certain segment of the world, it can become part of that environment along with predators and food sources, the process being called what?",adapted to it,adaptation.
phi-1_5,factual,fact_0130,Chimpanzees dig for insects with sticks; what is another example of using tools?,otters using rocks to open clams,Humans use computers to write essays.
phi-1_5,factual,fact_0131,Carbon dioxide exists where it does because,humans expel it,In the atmosphere.
phi-1_5,factual,fact_0132,What covers over 90% of the Earth's surface and 0% of the moon's surface,that which contains 2 hydrogen and 1 oxygen molecules,Ocean.
phi-1_5,factual,fact_0133,Why do  berries exist?,reproducing,"Berries are a type of fruit that grow on bushes or trees. They come in many different colors and flavors, such as blueberries, strawberries, raspberries, blackberries, etc., which can be eaten fresh, frozen, dried, cooked"
phi-1_5,factual,fact_0134,The biggest things on the moon are,craters,craters.
phi-1_5,factual,fact_0135,Which set of animals don't compete for food?,whale and cat,Lions and zebras.
phi-1_5,factual,fact_0136,will a glacier travel at greater speeds than a sea going vessel?,this is likely to be false,"False. A glacier moves much slower compared to a ship due to its large size and weight, which makes it difficult for the ice mass to move quickly through water or air."
phi-1_5,factual,fact_0137,Something that shows that the earth changes is,a lake where a tree was,a river.
phi-1_5,factual,fact_0138,"A lot of people think that volcanoes may only exist in tall mountains that tower above us, but a lot of volcanoes",are found and erupt beneath the water,False. Volcanoes can also be found on the sides and bottom of low-lying hills or even near rivers where magma is more easily accessible to rise up through cracks in the earth's surface.
phi-1_5,factual,fact_0139,A car slowed down because of,the wind,friction.
phi-1_5,factual,fact_0140,"The lights were turned off in a room, who could find the light switch?",Raccoons,Someone with common sense.
phi-1_5,factual,fact_0141,slope is a measure of the difference in elevation from the top to the base of a,pyramid,"The steeper the line, the greater its slope."
phi-1_5,factual,fact_0142,"In a zoo, a polar bear exhibit will contain",strong fans,animals.
phi-1_5,factual,fact_0143,Precipitation sometimes leads to,caves,runoff.
phi-1_5,factual,fact_0144,When the scientist finally completed his new invention he thanked his,powers of observation,for making it possible.
phi-1_5,factual,fact_0145,"When the game console's power cable was attached to the wall, electricity ended up in",the game console,The electrical energy.
phi-1_5,factual,fact_0146,"Some birds have scooped beaks, but others have sharp beaks such as",peregrine falcons,Beak shape varies among bird species.
phi-1_5,factual,fact_0147,People commonly have bad reactions to what they get from a,pharmacy,side effects.
phi-1_5,factual,fact_0148,What happens to body water when animal activity rises,the water decreases,evaporation increases.
phi-1_5,factual,fact_0149,"More carbon dioxide is in the air in the past decade than ever before, probably because",human population increased,due to human activities.
phi-1_5,factual,fact_0150,What slows down the transfer of heat?,a wooden wall,Air resistance.
phi-1_5,factual,fact_0151,"Whether a rainstorm, snow, or hail, humanity can find a way to escape it by",creating a protected space,shelter.
phi-1_5,factual,fact_0152,"In a strong tempest, a large boulder may be",smoothed,weathering.
phi-1_5,factual,fact_0153,The way that electrical conductors works in ways such as,sticking a plug into an outlet to power a microwave,Conductors allow electricity to flow through them.
phi-1_5,factual,fact_0154,"When wheels are squealing on a blacktop, friction",works against motion,The most likely reason the wheels of a cart are squeaking is because there was too much friction.
phi-1_5,factual,fact_0155,Breaking a vase changes its,shape and mass,Its shape.
phi-1_5,factual,fact_0156,"When looking for a good renewable resource in order to avoid wasting anything that will eventually run out, a man decides to use",murky river fluid,solar energy.
phi-1_5,factual,fact_0157,A consequence of polluting could be that,fish become inedible,air pollution.
phi-1_5,factual,fact_0158,the top layer of soil contains the most nutrients where I,hike,The top layer.
phi-1_5,factual,fact_0159,"A cacti is basically an enormous stem, which means that",it can be drunk from,The cactus has a thick and fleshy stem.
phi-1_5,factual,fact_0160,Without reliable sources of food or water,creatures experience some suffering,survival.
phi-1_5,factual,fact_0161,An echo is produced by what type of reflection of sound source?,Single,Sound waves.
phi-1_5,factual,fact_0162,if food has lack of immediate use for energy then it will,kept for later,be digested.
phi-1_5,factual,fact_0163,Puerto Rico experienced many landslides due to Hurricane Maria in,2017,"Yes, the hurricane caused several landslides."
phi-1_5,factual,fact_0164,What item's housing is made of metal?,cola,A can.
phi-1_5,factual,fact_0165,"Deserts, Jungles, and Oceans have many different",organisms,ecosystems.
phi-1_5,factual,fact_0166,"If a glacier going past a dock brushed up against some large boulders there, the stones would",have gouges,gouges.
phi-1_5,factual,fact_0167,Air is considered to be a vehicle for..?,Sound,sound.
phi-1_5,factual,fact_0168,The removal of trees may cause damage to ecosystems such as,jungles,deforestation.
phi-1_5,factual,fact_0169,When a wolf is buried what will happen to other wolves?,less of them,The population of Wolves will decrease.
phi-1_5,factual,fact_0170,A fundamental feature of all life produces,offspring,energy.
phi-1_5,factual,fact_0171,What part of the backyard is cooler than the other parts?,the part by the oak tree,The shaded area.
phi-1_5,factual,fact_0172,What is an example of reproduction being a stage in the life cycle process?,births can occur only after reproduction takes place,The birth and growth of new plants.
phi-1_5,factual,fact_0173,Iron is used to make,items that fasten roofing to roofs,Fe.
phi-1_5,factual,fact_0174,When car is close to the runner the illumination of the motorized entity is at a higher level because?,it is closer,The closer it gets.
phi-1_5,factual,fact_0175,During a thunderstorm an animal is most likely going to relocate to a,cave,seek shelter.
phi-1_5,factual,fact_0176,How do some octopus hide?,expelling dark fluid for cover,Some octopuses can change their skin color and texture to blend into the environment.
phi-1_5,factual,fact_0177,nutrients from food and water are necessary to an organism's,survival,True.
phi-1_5,factual,fact_0178,"When a microfiber towel is used to pick up a puddle of milk, the towel then",contains the milk,Absorbs.
phi-1_5,factual,fact_0179,Why would a species camouflage as a dangerous animal?,to avoid crocodiles,To avoid crocodiles.
phi-1_5,factual,fact_0180,The reason that flies can always find food is that they can smell,organism decay,Flies are able to locate their prey because of the sense of smell.
phi-1_5,factual,fact_0181,examples of pollution include all but,laundry soup,"air, water."
phi-1_5,factual,fact_0182,This type of energy resource often results in particulates that are very toxic to breathe:,coal,coal.
phi-1_5,factual,fact_0183,Seeds travel by,Fish,through the air.
phi-1_5,factual,fact_0184,What should my thermometer read if I want to make sure my home-made popsicles are done?,0 degrees C.,The temperature needs to be 0 degrees Celsius.
phi-1_5,factual,fact_0185,Using wind in order to power factories is a good idea because,it can be gotten continuously,Wind energy can be harnessed and used as an alternative source of electricity.
phi-1_5,factual,fact_0186,"A storm rages for two weeks, and the rivers and lakes swell past their holding capacity, so",the surrounding land is underwater,The result is a flood.
phi-1_5,factual,fact_0187,what process is adulthood categorized under?,the living term,the transition from childhood to adult life.
phi-1_5,factual,fact_0188,"If an object undergoes chemical change then that object will have new chemical properties, such as",a soda with lime in it,True.
phi-1_5,factual,fact_0189,polar bears are white due to an inherited,characteristic,because of their genes.
phi-1_5,factual,fact_0190,Seeing the stars will be harder when what happens?,light in an area becomes greater,Light pollution.
phi-1_5,factual,fact_0191,"A planet rotating causes cycles of day and night on that planet, like on",Jupiter,Earth.
phi-1_5,factual,fact_0192,Because a logging company has been working here the area has more,carbon,because.
phi-1_5,factual,fact_0193,what is sonar used for,gathering lost things,Sonar uses sound waves to locate objects underwater.
phi-1_5,factual,fact_0194,When a lake is exposed to enough heat over time,it ceases existing,evaporation.
phi-1_5,factual,fact_0195,"A pupa creates cocoons in a stage of the life cycle, and eventually the insect will",adjust,metamorphosis.
phi-1_5,factual,fact_0196,What does water taste like after a substance is dissolved in it?,similar to object,Dissolved.
phi-1_5,factual,fact_0197,What causes the pull of gravity on a planet?,kilograms,The mass of an object.
phi-1_5,factual,fact_0198,"If more pollution is released into the air, what happens to the planet's temperature?",it climbs,The Earth gets warmer.
phi-1_5,factual,fact_0199,An example of adapting to survive is,Putting on sunscreen in a sunny place,A chameleon changes its color.
phi-1_5,factual,fact_0200,When would a reflector be most effective?,summer,In the summer.
phi-1_5,factual,fact_0201,a toaster converts electricity into radiant waves for,browning bagels,radiation.
phi-1_5,factual,fact_0202,A light is refracted when,it shines at a gem,"When a ray of light passes through a medium, it changes direction. This phenomenon occurs because the speed and wavelength of light change as it enters or exits different materials. The bending of light can be explained by Snell's law, which states that the"
phi-1_5,factual,fact_0203,coal is a resource that,constructs with difficulty,nonrenewable.
phi-1_5,factual,fact_0204,After the wolf ate all the rabbits he survived on:,fat,The wolves had a lot of food.
phi-1_5,factual,fact_0205,"A bird makes its home in various places, such as",groves of plants,nests.
phi-1_5,factual,fact_0206,To identify the percent chance of a trait being passed down we need at least,four boxes,two alleles.
phi-1_5,factual,fact_0207,A pile of iron will,tug devices for locating directions,rust.
phi-1_5,factual,fact_0208,The water in the bowl was gone before the water,in the mug,Before.
phi-1_5,factual,fact_0209,A side effect of having a Husky as a pet is that when she sheds,it takes hours to vacuum all of the fur,shedding.
phi-1_5,factual,fact_0210,An example of feeling,My pants against my skin,Feeling is an emotion.
phi-1_5,factual,fact_0211,Some fields house incredible creatures such as,large rabbits,coral reefs.
phi-1_5,factual,fact_0212,Which of these items must be combined with a river to produce power?,concrete,A dam.
phi-1_5,factual,fact_0213,You can let someone know you are at the door thanks to a,power plant,knock.
phi-1_5,factual,fact_0214,When being pursued by a lion,a giraffe will dash,The gazelle ran away.
phi-1_5,factual,fact_0215,The ability that an oven has to turn ingredients into a moist cake come from its,higher temps,heat.
phi-1_5,factual,fact_0216,Why would happen if the screw was loose on a bicycle's tire?,it might fall off,The bike might not ride smoothly.
phi-1_5,factual,fact_0217,Why was my son-in-law required to add rugs or carpeting to his upstairs apartment when the ground floor wasn't?,Because they didn't want the downstairs renters to be as likely to complain about noise,To prevent noise from traveling up and disturbing other tenants.
phi-1_5,factual,fact_0218,the mantle is,a level of our planet,"a layer of hot, semi-solid rock beneath Earth's crust."
phi-1_5,factual,fact_0219,Transpiration involves,H2O traveling about a daffodil's system,the movement of water through a plant.
phi-1_5,factual,fact_0220,A microscope can be placed against the sun and,burn an ant in the light's path,The microscope reflects light.
phi-1_5,factual,fact_0221,one inherited characteristic of fur is it's,hue,its color.
phi-1_5,factual,fact_0222,An example of adaption is,wearing sunblock,A bird migrating south.
phi-1_5,factual,fact_0223,"If a snail is heated to the point of being burned, the snail will",be discomforted,die.
phi-1_5,factual,fact_0224,"In a bog, when water levels become low,",bog animals may search longer for nutrients,nutrients are deposited into the bogs.
phi-1_5,factual,fact_0225,"What contributes more, though less than some believe, to the lung damage caused by smoking?",no filters,Secondhand smoke.
phi-1_5,factual,fact_0226,The below surface pebbles of the Snake River are of non rough edges because of?,river movement,weathering.
phi-1_5,factual,fact_0227,"There are producers that exist in the food chain, and they basically",require photosynthesis to survive,"True. Producers play a crucial role as they convert sunlight into energy through photosynthesis, providing nourishment for other organisms within their ecosystem. Without them, life on Earth would not be possible."
phi-1_5,factual,fact_0228,Pollution is caused by,prescription medicine being put down sink drains,human activities.
phi-1_5,factual,fact_0229,I have to plug in a processor of food because it,is an electric Motor,needs electricity.
phi-1_5,factual,fact_0230,"The size of eyes matter relevant to sight and sight ability, given that",elephants see better than ants,True.
phi-1_5,factual,fact_0231,The reason that ducks are such excellent swimmers is because,ducks have extra foot skin,Ducks have webbed feet.
phi-1_5,factual,fact_0232,Some minerals originated from a material that was,far away,magma.
phi-1_5,factual,fact_0233,Heavy rains cause flooding which,ruin crops,Floods are caused by heavy rain.
phi-1_5,factual,fact_0234,Stems are to flowers as,silos are to grains,Parts of a flower.
phi-1_5,factual,fact_0235,"when an animal's eyes grow, what happens",they see more,the size of its pupils changes.
phi-1_5,factual,fact_0236,Environments which are covered in snow are often white as a result of said snow and what other factor?,conditions which allow little if any heat to be produced or stored,Sunlight is reflected off the surface.
phi-1_5,factual,fact_0237,Blood absorbs oxygen in the,organs that develop during childhood,True.
phi-1_5,factual,fact_0238,"For a hungry hawk chasing a mouse, if the mouse darts away, the hawk must",adjust speed,adjust its speed.
phi-1_5,factual,fact_0239,"Mothers have many roles, one of which is",gestating and birthing,nurturing.
phi-1_5,factual,fact_0240,"Small, usually red plastic squares are often placed on transporters such as bicycles in order to",shine light,To indicate the presence of a bicycle.
phi-1_5,factual,fact_0241,"If a lizard is unable to obtain sufficient nutrients in a period of time, the resulting effect may be",ceased existence,The lizard will become weak and malnourished.
phi-1_5,factual,fact_0242,"A bunny wants to eat strawberries, but it is unable to find any. However, the bunny finds a patch of small white buds. If the rabbit waits a while",there will be berries there,The bunnies will be able to enjoy eating berries soon enough because they are waiting for their turn and eventually finding them.
phi-1_5,factual,fact_0243,We can calculate a speed if we know a number of,millimeters,Speed = Distance / Time.
phi-1_5,factual,fact_0244,"When any two object strike with each other, the molecules of the outer of the two objects coming in contact could",quake,quake.
phi-1_5,factual,fact_0245,Condensation over night,can lead to slippery grass,Dew forms on grass.
phi-1_5,factual,fact_0246,"In a warm room, it is likely that the source of heat is",a series of metal pipes along a wall,The most reasonable explanation for why there are more ants under the carport than on the lawn is because it's hotter under the roof.
phi-1_5,factual,fact_0247,Wax is on some plant leaves for what purpose?,keep the ongoing hydration,To retain moisture.
phi-1_5,factual,fact_0248,"Lightness may be seen reflected more clearly and brighter off of lighter colored objects, so an example would be",a lilac door is easily seen,A white floor reflects light better than a black floor.
phi-1_5,factual,fact_0249,What can show how a rainbow is formed by refraction of light by splitting light into all different colors?,shining a flashlight on a gem,A prism.
phi-1_5,factual,fact_0250,Which of these animal traits is generally determined by environmental factors rather than heredity?,hair length,Adaptation.
phi-1_5,factual,fact_0251,Bees are attracted to,a sugar rich liquid plants produce,flowers.
phi-1_5,factual,fact_0252,"If an animal is living, then",it is taking in air,it has cells.
phi-1_5,factual,fact_0253,What does harming an organism cause?,population decrease,Population decrease.
phi-1_5,factual,fact_0254,Veins carry blood which means that they,cart essential substances around,transport.
phi-1_5,factual,fact_0255,"A source of something supplies that something, like how",ponds are a moisture source,a source provides.
phi-1_5,factual,fact_0256,"If you breathe out, especially in the vicinity of clear glass, you may witness",your breath beading up,breathable gas.
phi-1_5,factual,fact_0257,The bear in the wild needs to find other animals to feast.,they are killers,Bears eat what? Other animals.
phi-1_5,factual,fact_0258,A hawk would prefer this for lunch,A bison,meat.
phi-1_5,factual,fact_0259,Why is it dangerous for an animal to be kept boxed up in an area without air circulation?,it might get overheated,It can lead to overheating.
phi-1_5,factual,fact_0260,Animals may relocate to a new environment if their old environment,experienced a large hurricane,If the habitat is destroyed.
phi-1_5,factual,fact_0261,many vehicles emitting pollution into the air may occur when,EMT transports panting patient,cars.
phi-1_5,factual,fact_0262,What material is an example of an electrical insulator?,Brick,Rubber.
phi-1_5,factual,fact_0263,The sun was straight above us when we,took a break,the sky.
phi-1_5,factual,fact_0264,Rubber can protect from,electricity,rubber.
phi-1_5,factual,fact_0265,A pollutions standard is something which,will hopefully limit the amount of damage done to the environment by large producers,a measure of the amount or quality of pollution.
phi-1_5,factual,fact_0266,Electricity causes less damage to the Earth's atmosphere than,Gasoline,wind turbines.
