model,dataset,id,input,expected_output,generated_output
flan_t5,factual,fact_0051,which one of these can help a person cook their food?,a counter cooker appliance,a stove
flan_t5,factual,fact_0052,Sunlight produces heat that causes,warmth on bodies,a ray of light to move through the clouds
flan_t5,factual,fact_0053,with which could you tell the exact size of an object?,a plastic tape with graduated markings,a measuring tape
flan_t5,factual,fact_0054,Which would be the result of the breeding of two wolves?,wolf pups,a wolf would be born
flan_t5,factual,fact_0055,Scales,help users know if they need to drop some lbs.,are used to measure the length of a rope.
flan_t5,factual,fact_0056,"When producers create food in an ecosystem, a portion of the nutrients are",carbs,absorbed by the ecosystem.
flan_t5,factual,fact_0057,Two ships grazing each other as they pass will,slow them down,be a grazing lion
flan_t5,factual,fact_0058,A battery converts chemical energy into,energy stored due to the relative positions of charged particles or electric fields,electrical energy
flan_t5,factual,fact_0059,The leaves of a plant benefit from?,sun,nutrient
flan_t5,factual,fact_0060,Quartz may produce rainbows when light is shined,through any of its sides,light
flan_t5,factual,fact_0061,"A woman is digging under a tree on a tall mountain. She is looking for interesting rocks, and a foot down into the soil, discovers a fossilized fish skeleton. From this discovery, the woman is able to determine that",the mountain used to be underwater,the fish were a tetrapod.
flan_t5,factual,fact_0062,Which animal lacks the ability to see by sensing light?,Southern cave crayfish,lion
flan_t5,factual,fact_0063,Which animal emits something that many autistic people would be extra sensitive to?,skunk,fox
flan_t5,factual,fact_0064,which of these usually occur over the shortest period?,a super size earthquake,a synapse
flan_t5,factual,fact_0065,If the sun has set it is,harder to see outside,a day
flan_t5,factual,fact_0066,A magnifying glass,would allow the user to better view the legs on an ant,can be used to see a picture
flan_t5,factual,fact_0067,What do rotating vanes on an electric fan do to air?,circulate,blow it
flan_t5,factual,fact_0068,An animal would have its inner parts better protected if it had which of these?,a calcium fortified internal structure,a splint
flan_t5,factual,fact_0069,Plants require this to grow,H2O,a nutrient
flan_t5,factual,fact_0070,Renewable resources,can be used ad infinitum,are the primary source of energy for the world
flan_t5,factual,fact_0071,a day hiking will most likely result in which of these?,an even darker tone,a sleet cloud
flan_t5,factual,fact_0072,Refraction,makes a straw appear broken when in a cup of water,a refraction
flan_t5,factual,fact_0073,which of these can be considered a stage in the water cycle?,the presence of H20,the evaporation of water
flan_t5,factual,fact_0074,Which of these items is required for a deer to live,sun,a teddy bear
flan_t5,factual,fact_0075,Where is the best place to shoot animals?,forest,a hunting ground
flan_t5,factual,fact_0076,Spiders can catch prey by doing all aside from,howling,catching prey
flan_t5,factual,fact_0077,When does electricity flow through a conductor?,when it's attached to a battery,during the day
flan_t5,factual,fact_0078,I can use a stopwatch to track,how many marshmallows I can eat in 10 minutes,a time.
flan_t5,factual,fact_0079,"If John were going to the store, how would he measure his trip?",kilometer,by the number of items in the store
flan_t5,factual,fact_0080,A man plugs his television into an outlet behind a cabinet. He sees that the television may now be turned on so that he can watch his favorite show. The man knows that by hooking the t.v. cord into the outlet,he completed a circuit,he can watch his favorite show.
flan_t5,factual,fact_0081,Which type of energy is the most environmentally friendly?,Sunlight,renewable energy
flan_t5,factual,fact_0082,Which form can be made into a triangle?,ice,octagonal
flan_t5,factual,fact_0083,who would see better through an underground tunnel?,a man with a candle and match,the occupants
flan_t5,factual,fact_0084,There are now many more people because of,efficient farming,a new government
flan_t5,factual,fact_0085,Water in a sealed jar might do what when placed in the freezer?,break it,freeze
flan_t5,factual,fact_0086,What causes a chemical reaction?,mixing and heating edible items,a chemical reaction
flan_t5,factual,fact_0087,What stores food for future use and is green?,tree,a jar
flan_t5,factual,fact_0088,Filling a bottle full of water and then placing it in the freezer can lead to,bursting of the bottle,freezing the water.
flan_t5,factual,fact_0089,What functions without contact between objects?,opposites attracting,a kinetic energy
flan_t5,factual,fact_0090,Which doesn't contain water?,Sea of Tranquilitiy,a septic tank
flan_t5,factual,fact_0091,Fungi,can do their food chain jobs without ingestion,fungi
flan_t5,factual,fact_0092,"Compared to a regular swimmer, a scuba diver deals with more",pressure,scuba diving
flan_t5,factual,fact_0093,What is an example of the fact that a thing is dead once it dies after having previously lived?,a vibrant cat is deceased after being hit by a car,a snout
flan_t5,factual,fact_0094,Thunder clouds are,of a significant weight,a type of cloud
flan_t5,factual,fact_0095,If someone is experiencing frequent falls,they should try putting down carpet or throw rugs,a person who falls frequently will likely be a runner.
flan_t5,factual,fact_0096,It is easiest to get a clear photo of the moon by,using a telescopic lens,exposing the moon to sunlight.
flan_t5,factual,fact_0097,Filling a glass with markers for cup amounts on it would be,a way to collect data,a good way to make a cup of coffee.
flan_t5,factual,fact_0098,Winter snows follow Autumn's falling leaves by,three months,a sleeve
flan_t5,factual,fact_0099,The way that squirrels put away food during the cool season ensures that they,survive,are able to survive
flan_t5,factual,fact_0100,An example of a consumer would be,a deer munching grass,a pig
flan_t5,factual,fact_0101,Eating and digesting a large meal is guaranteed to produce,fecal matter,a lot of gas
flan_t5,factual,fact_0102,"Canyons are generally old, huge, and breathtaking and are",typically materialized with stone,a place to be.
flan_t5,factual,fact_0103,"If a room is going to be humid, or dry, depends on how much water vapor is in the air, so if a room wants to be humid",run a bath,"dry, it will be humid."
flan_t5,factual,fact_0104,What impacts an objects ability to reflect light?,color pallete,light
flan_t5,factual,fact_0105,which of these would make an ideal object to drive in with a hammer?,all of these,a hammer
flan_t5,factual,fact_0106,local plant varieties are the best for improving the local,environs,plant
flan_t5,factual,fact_0107,Electricity sent through a conductor,moves like traffic through a green light,Conductor is a device that converts electricity into heat energy.
flan_t5,factual,fact_0108,"The sun is a source of which, first and foremost?",Light,energy
flan_t5,factual,fact_0109,Where in the world will a person have the smallest shadow at noon?,near the equator,sahara
flan_t5,factual,fact_0110,Oil is a source of a material used for an object with,wheels,oil
flan_t5,factual,fact_0111,A magnet would attract a,Zippers,magnet to a wire.
flan_t5,factual,fact_0112,What sort of habitat would living things live in?,A habitat with plenty of water,a desert
flan_t5,factual,fact_0113,"A person finishes drinking a bottle of water and notices that at the bottom of the bottle is a small symbol, consisting of three arrows in a triangular shape. This symbol tells the person that they should",have it reprocessed,drink more water.
flan_t5,factual,fact_0114,"In order to better understand the world around us, specialists","inspect, note, and consider",are called in.
flan_t5,factual,fact_0115,"A woman leaves some meat on the counter, and bacteria begins to quickly grow on the surface. This bacteria may cause",turned food,meat to turn brown.
flan_t5,factual,fact_0116,Stars appear in different areas in the sky at different times of year due to what?,Earths Rotation,the seasons
flan_t5,factual,fact_0117,Corn can sometimes,fuel an economy car,be boiled
flan_t5,factual,fact_0118,strumming a string can cause what type of wave?,Pressure,acoustic
flan_t5,factual,fact_0119,Coral is a type of living organism which can be identified in,saltwater locations that are open,a sea
flan_t5,factual,fact_0120,"Having reliable plant sources in a field, a rabbit may react by",having larger litters,absorbing sunlight
flan_t5,factual,fact_0121,The layer of material on the bottom of the Snake River was put there by what?,weather related degradation,a glacier
flan_t5,factual,fact_0122,"Which converts carbon dioxide, water, and solar energy into oxygen?",chrysanthemum,oxidative phosphorylation
flan_t5,factual,fact_0123,December is in the summer in what,the southern part of the third rock,sweden
flan_t5,factual,fact_0124,Trembling muscles spasms in animals can be caused in party by,temperature in single digits,a sneezing
flan_t5,factual,fact_0125,The number of lines found in a tree bore will tell you?,the age,how many lines are in a tree
flan_t5,factual,fact_0126,Hummingbirds take what with them,Pollen,berries
flan_t5,factual,fact_0127,To naturally increase the amount of organic matter in soil add,fungi,a little bit of compost
flan_t5,factual,fact_0128,Peat is an important factor when,Putting a fresh raspberry seed in soil,a person is in a sand pit
flan_t5,factual,fact_0129,"When a bird is living in a certain segment of the world, it can become part of that environment along with predators and food sources, the process being called what?",adapted to it,extinction
flan_t5,factual,fact_0130,Chimpanzees dig for insects with sticks; what is another example of using tools?,otters using rocks to open clams,a chimpanzee digging for insects
flan_t5,factual,fact_0131,Carbon dioxide exists where it does because,humans expel it,the air is hotter
flan_t5,factual,fact_0132,What covers over 90% of the Earth's surface and 0% of the moon's surface,that which contains 2 hydrogen and 1 oxygen molecules,the moon
flan_t5,factual,fact_0133,Why do  berries exist?,reproducing,to produce food
flan_t5,factual,fact_0134,The biggest things on the moon are,craters,moons
flan_t5,factual,fact_0135,Which set of animals don't compete for food?,whale and cat,lions
flan_t5,factual,fact_0136,will a glacier travel at greater speeds than a sea going vessel?,this is likely to be false,no
flan_t5,factual,fact_0137,Something that shows that the earth changes is,a lake where a tree was,a tectonic plate
flan_t5,factual,fact_0138,"A lot of people think that volcanoes may only exist in tall mountains that tower above us, but a lot of volcanoes",are found and erupt beneath the water,are found in the oceans and mountains.
flan_t5,factual,fact_0139,A car slowed down because of,the wind,a bad engine.
flan_t5,factual,fact_0140,"The lights were turned off in a room, who could find the light switch?",Raccoons,a man
flan_t5,factual,fact_0141,slope is a measure of the difference in elevation from the top to the base of a,pyramid,slope
flan_t5,factual,fact_0142,"In a zoo, a polar bear exhibit will contain",strong fans,polar bears
flan_t5,factual,fact_0143,Precipitation sometimes leads to,caves,a blizzard
flan_t5,factual,fact_0144,When the scientist finally completed his new invention he thanked his,powers of observation,invention to his friends.
flan_t5,factual,fact_0145,"When the game console's power cable was attached to the wall, electricity ended up in",the game console,the wall
flan_t5,factual,fact_0146,"Some birds have scooped beaks, but others have sharp beaks such as",peregrine falcons,a squid
flan_t5,factual,fact_0147,People commonly have bad reactions to what they get from a,pharmacy,cigarette
flan_t5,factual,fact_0148,What happens to body water when animal activity rises,the water decreases,body water evaporates
flan_t5,factual,fact_0149,"More carbon dioxide is in the air in the past decade than ever before, probably because",human population increased,the air is being contaminated.
flan_t5,factual,fact_0150,What slows down the transfer of heat?,a wooden wall,a vapor
flan_t5,factual,fact_0151,"Whether a rainstorm, snow, or hail, humanity can find a way to escape it by",creating a protected space,avoiding it
flan_t5,factual,fact_0152,"In a strong tempest, a large boulder may be",smoothed,buried underneath the ground.
flan_t5,factual,fact_0153,The way that electrical conductors works in ways such as,sticking a plug into an outlet to power a microwave,adduct
flan_t5,factual,fact_0154,"When wheels are squealing on a blacktop, friction",works against motion,is created
flan_t5,factual,fact_0155,Breaking a vase changes its,shape and mass,shape
flan_t5,factual,fact_0156,"When looking for a good renewable resource in order to avoid wasting anything that will eventually run out, a man decides to use",murky river fluid,renewables
flan_t5,factual,fact_0157,A consequence of polluting could be that,fish become inedible,pollution is a major cause of global warming
flan_t5,factual,fact_0158,the top layer of soil contains the most nutrients where I,hike,eat
flan_t5,factual,fact_0159,"A cacti is basically an enormous stem, which means that",it can be drunk from,a cacti is a large plant.
flan_t5,factual,fact_0160,Without reliable sources of food or water,creatures experience some suffering,a person cannot survive.
flan_t5,factual,fact_0161,An echo is produced by what type of reflection of sound source?,Single,echo
flan_t5,factual,fact_0162,if food has lack of immediate use for energy then it will,kept for later,be a waste
flan_t5,factual,fact_0163,Puerto Rico experienced many landslides due to Hurricane Maria in,2017,Puerto Rico
flan_t5,factual,fact_0164,What item's housing is made of metal?,cola,a tin can
flan_t5,factual,fact_0165,"Deserts, Jungles, and Oceans have many different",organisms,oceans
flan_t5,factual,fact_0166,"If a glacier going past a dock brushed up against some large boulders there, the stones would",have gouges,be smashed.
flan_t5,factual,fact_0167,Air is considered to be a vehicle for..?,Sound,a vehicle for transporting goods
flan_t5,factual,fact_0168,The removal of trees may cause damage to ecosystems such as,jungles,ecosystems
flan_t5,factual,fact_0169,When a wolf is buried what will happen to other wolves?,less of them,they will be able to live
flan_t5,factual,fact_0170,A fundamental feature of all life produces,offspring,a living organism
flan_t5,factual,fact_0171,What part of the backyard is cooler than the other parts?,the part by the oak tree,the sloping part
flan_t5,factual,fact_0172,What is an example of reproduction being a stage in the life cycle process?,births can occur only after reproduction takes place,a sperm laying eggs
flan_t5,factual,fact_0173,Iron is used to make,items that fasten roofing to roofs,iron
flan_t5,factual,fact_0174,When car is close to the runner the illumination of the motorized entity is at a higher level because?,it is closer,the car is moving
flan_t5,factual,fact_0175,During a thunderstorm an animal is most likely going to relocate to a,cave,thunderstorm
flan_t5,factual,fact_0176,How do some octopus hide?,expelling dark fluid for cover,a slender body
flan_t5,factual,fact_0177,nutrients from food and water are necessary to an organism's,survival,body
flan_t5,factual,fact_0178,"When a microfiber towel is used to pick up a puddle of milk, the towel then",contains the milk,is soaked in milk.
flan_t5,factual,fact_0179,Why would a species camouflage as a dangerous animal?,to avoid crocodiles,a snare
flan_t5,factual,fact_0180,The reason that flies can always find food is that they can smell,organism decay,smelt
flan_t5,factual,fact_0181,examples of pollution include all but,laundry soup,all but
flan_t5,factual,fact_0182,This type of energy resource often results in particulates that are very toxic to breathe:,coal,ozone depletion
flan_t5,factual,fact_0183,Seeds travel by,Fish,a seed
flan_t5,factual,fact_0184,What should my thermometer read if I want to make sure my home-made popsicles are done?,0 degrees C.,0 degrees F
flan_t5,factual,fact_0185,Using wind in order to power factories is a good idea because,it can be gotten continuously,wind is renewable
flan_t5,factual,fact_0186,"A storm rages for two weeks, and the rivers and lakes swell past their holding capacity, so",the surrounding land is underwater,a river is flooded.
flan_t5,factual,fact_0187,what process is adulthood categorized under?,the living term,age
flan_t5,factual,fact_0188,"If an object undergoes chemical change then that object will have new chemical properties, such as",a soda with lime in it,chemical change
flan_t5,factual,fact_0189,polar bears are white due to an inherited,characteristic,inherited trait
flan_t5,factual,fact_0190,Seeing the stars will be harder when what happens?,light in an area becomes greater,a bright light source is reflected
flan_t5,factual,fact_0191,"A planet rotating causes cycles of day and night on that planet, like on",Jupiter,Earth
flan_t5,factual,fact_0192,Because a logging company has been working here the area has more,carbon,logging land
flan_t5,factual,fact_0193,what is sonar used for,gathering lost things,to measure the sound
flan_t5,factual,fact_0194,When a lake is exposed to enough heat over time,it ceases existing,a lake is exposed to enough heat over time
flan_t5,factual,fact_0195,"A pupa creates cocoons in a stage of the life cycle, and eventually the insect will",adjust,produce a cocoon.
flan_t5,factual,fact_0196,What does water taste like after a substance is dissolved in it?,similar to object,sour
flan_t5,factual,fact_0197,What causes the pull of gravity on a planet?,kilograms,gravity
flan_t5,factual,fact_0198,"If more pollution is released into the air, what happens to the planet's temperature?",it climbs,it will increase
flan_t5,factual,fact_0199,An example of adapting to survive is,Putting on sunscreen in a sunny place,a fox
flan_t5,factual,fact_0200,When would a reflector be most effective?,summer,during night
flan_t5,factual,fact_0201,a toaster converts electricity into radiant waves for,browning bagels,a microwave
flan_t5,factual,fact_0202,A light is refracted when,it shines at a gem,a person is in a room
flan_t5,factual,fact_0203,coal is a resource that,constructs with difficulty,enables the production of electricity
flan_t5,factual,fact_0204,After the wolf ate all the rabbits he survived on:,fat,rabbits
flan_t5,factual,fact_0205,"A bird makes its home in various places, such as",groves of plants,nests
flan_t5,factual,fact_0206,To identify the percent chance of a trait being passed down we need at least,four boxes,a percentage
flan_t5,factual,fact_0207,A pile of iron will,tug devices for locating directions,be a sand castle
flan_t5,factual,fact_0208,The water in the bowl was gone before the water,in the mug,water was poured into the bowl.
flan_t5,factual,fact_0209,A side effect of having a Husky as a pet is that when she sheds,it takes hours to vacuum all of the fur,she is shedding
flan_t5,factual,fact_0210,An example of feeling,My pants against my skin,a sense of adversity
flan_t5,factual,fact_0211,Some fields house incredible creatures such as,large rabbits,ants
flan_t5,factual,fact_0212,Which of these items must be combined with a river to produce power?,concrete,a river
flan_t5,factual,fact_0213,You can let someone know you are at the door thanks to a,power plant,doorbell
flan_t5,factual,fact_0214,When being pursued by a lion,a giraffe will dash,a lion is chasing a leopard.
flan_t5,factual,fact_0215,The ability that an oven has to turn ingredients into a moist cake come from its,higher temps,temperature
flan_t5,factual,fact_0216,Why would happen if the screw was loose on a bicycle's tire?,it might fall off,it would be smashed
flan_t5,factual,fact_0217,Why was my son-in-law required to add rugs or carpeting to his upstairs apartment when the ground floor wasn't?,Because they didn't want the downstairs renters to be as likely to complain about noise,floor level was too high
flan_t5,factual,fact_0218,the mantle is,a level of our planet,a syringe
flan_t5,factual,fact_0219,Transpiration involves,H2O traveling about a daffodil's system,a person's body releasing energy
flan_t5,factual,fact_0220,A microscope can be placed against the sun and,burn an ant in the light's path,viewed from the window.
flan_t5,factual,fact_0221,one inherited characteristic of fur is it's,hue,shedding
flan_t5,factual,fact_0222,An example of adaption is,wearing sunblock,a dog adjusting to its new environment
flan_t5,factual,fact_0223,"If a snail is heated to the point of being burned, the snail will",be discomforted,burn itself
flan_t5,factual,fact_0224,"In a bog, when water levels become low,",bog animals may search longer for nutrients,bogs are flooded.
flan_t5,factual,fact_0225,"What contributes more, though less than some believe, to the lung damage caused by smoking?",no filters,nicotine
flan_t5,factual,fact_0226,The below surface pebbles of the Snake River are of non rough edges because of?,river movement,a natural inclination
flan_t5,factual,fact_0227,"There are producers that exist in the food chain, and they basically",require photosynthesis to survive,are the producers of the food chain.
flan_t5,factual,fact_0228,Pollution is caused by,prescription medicine being put down sink drains,a lack of water
flan_t5,factual,fact_0229,I have to plug in a processor of food because it,is an electric Motor,is a microwave.
flan_t5,factual,fact_0230,"The size of eyes matter relevant to sight and sight ability, given that",elephants see better than ants,eyes are the most important part of the human body.
flan_t5,factual,fact_0231,The reason that ducks are such excellent swimmers is because,ducks have extra foot skin,ducks are very strong.
flan_t5,factual,fact_0232,Some minerals originated from a material that was,far away,a mixture of minerals
flan_t5,factual,fact_0233,Heavy rains cause flooding which,ruin crops,floods cause
flan_t5,factual,fact_0234,Stems are to flowers as,silos are to grains,stems are to plants
flan_t5,factual,fact_0235,"when an animal's eyes grow, what happens",they see more,it sees the sun
flan_t5,factual,fact_0236,Environments which are covered in snow are often white as a result of said snow and what other factor?,conditions which allow little if any heat to be produced or stored,ice
flan_t5,factual,fact_0237,Blood absorbs oxygen in the,organs that develop during childhood,lungs
flan_t5,factual,fact_0238,"For a hungry hawk chasing a mouse, if the mouse darts away, the hawk must",adjust speed,be hungry
flan_t5,factual,fact_0239,"Mothers have many roles, one of which is",gestating and birthing,mother
flan_t5,factual,fact_0240,"Small, usually red plastic squares are often placed on transporters such as bicycles in order to",shine light,make them easier to transport
flan_t5,factual,fact_0241,"If a lizard is unable to obtain sufficient nutrients in a period of time, the resulting effect may be",ceased existence,a loss of appetite
flan_t5,factual,fact_0242,"A bunny wants to eat strawberries, but it is unable to find any. However, the bunny finds a patch of small white buds. If the rabbit waits a while",there will be berries there,the strawberry will grow.
flan_t5,factual,fact_0243,We can calculate a speed if we know a number of,millimeters,speed.
flan_t5,factual,fact_0244,"When any two object strike with each other, the molecules of the outer of the two objects coming in contact could",quake,be blown away.
flan_t5,factual,fact_0245,Condensation over night,can lead to slippery grass,a cold
flan_t5,factual,fact_0246,"In a warm room, it is likely that the source of heat is",a series of metal pipes along a wall,a radiator
flan_t5,factual,fact_0247,Wax is on some plant leaves for what purpose?,keep the ongoing hydration,to protect them from insects
flan_t5,factual,fact_0248,"Lightness may be seen reflected more clearly and brighter off of lighter colored objects, so an example would be",a lilac door is easily seen,a light bulb
flan_t5,factual,fact_0249,What can show how a rainbow is formed by refraction of light by splitting light into all different colors?,shining a flashlight on a gem,a rainbow
flan_t5,factual,fact_0250,Which of these animal traits is generally determined by environmental factors rather than heredity?,hair length,asexual reproduction
flan_t5,factual,fact_0251,Bees are attracted to,a sugar rich liquid plants produce,a swarm of bees
flan_t5,factual,fact_0252,"If an animal is living, then",it is taking in air,it is alive
flan_t5,factual,fact_0253,What does harming an organism cause?,population decrease,extinction
flan_t5,factual,fact_0254,Veins carry blood which means that they,cart essential substances around,are a part of the body
flan_t5,factual,fact_0255,"A source of something supplies that something, like how",ponds are a moisture source,a source of something supplies that something
flan_t5,factual,fact_0256,"If you breathe out, especially in the vicinity of clear glass, you may witness",your breath beading up,a swell
flan_t5,factual,fact_0257,The bear in the wild needs to find other animals to feast.,they are killers,fox
flan_t5,factual,fact_0258,A hawk would prefer this for lunch,A bison,a tin of sour cream
flan_t5,factual,fact_0259,Why is it dangerous for an animal to be kept boxed up in an area without air circulation?,it might get overheated,It is unable to breathe
flan_t5,factual,fact_0260,Animals may relocate to a new environment if their old environment,experienced a large hurricane,is contaminated.
flan_t5,factual,fact_0261,many vehicles emitting pollution into the air may occur when,EMT transports panting patient,a car is parked
flan_t5,factual,fact_0262,What material is an example of an electrical insulator?,Brick,copper
flan_t5,factual,fact_0263,The sun was straight above us when we,took a break,saw the sand dunes.
flan_t5,factual,fact_0264,Rubber can protect from,electricity,abrasion
flan_t5,factual,fact_0265,A pollutions standard is something which,will hopefully limit the amount of damage done to the environment by large producers,a government regulates
flan_t5,factual,fact_0266,Electricity causes less damage to the Earth's atmosphere than,Gasoline,electricity
flan_t5,factual,fact_0267,"If a river is rushing southwest on a sunny day, then it is safe to assume that",the land gently inclines in that direction,the river is flowing in the southwest
flan_t5,factual,fact_0268,Using a metal kitchen tool on a cheese can create,small pieces,a splinter
flan_t5,factual,fact_0269,"Someone in a room without any lights on, but that has mirrors in it, can still have light in that room if",a joined room is lit,mirrors are on.
flan_t5,factual,fact_0270,The increase in transport ability may increase the available types of,grains,transport
flan_t5,factual,fact_0271,seeds are often found inside a,cherry,jar
flan_t5,factual,fact_0272,"If two hawks find a dead fox, they will",battle,be able to eat it.
flan_t5,factual,fact_0273,Seasons of the year highly impact what?,Environment,weather
flan_t5,factual,fact_0274,"There are fuels that we are soon to run out of, and there are options that are like the sun, in that",they are endlessly available,we are likely to run out of.
flan_t5,factual,fact_0275,while passing Jupiter the,stronger the gravity,he saw a sailor
flan_t5,factual,fact_0276,The sea is,A mega Museum,a sandbar
flan_t5,factual,fact_0277,"A beak is used for catching prey by some birds, like how they are used by",chickadees,birds
flan_t5,factual,fact_0278,Flowers will reproduce more if,more bees make a pit stop at them,a plant is fertilized.
flan_t5,factual,fact_0279,Which celestial object is the shortest distance from earth?,Moon,venus
flan_t5,factual,fact_0280,"Which would be a logical hypothesis after viewing a white substance on the floor, with a yellow carton on the counter?",milk was spilled,The object is a jar.
flan_t5,factual,fact_0281,"With the apple tree chopped down, there was now no place for",bird's nests,apple pie
flan_t5,factual,fact_0282,What makes a body stronger?,parking far away,a strong immune system
flan_t5,factual,fact_0283,Recycling old cars has a positive impact on,conservation of metal,recycling the cars
flan_t5,factual,fact_0284,Organisms require energy in order to do what?,mature and develop,make food
flan_t5,factual,fact_0285,Where would the amount of water decrease most?,under clear skies,in the north
flan_t5,factual,fact_0286,If your pet bird is having trouble flying,try putting them on a diet,"if it is unable to fly, then it may be a bird with a broken leg."
flan_t5,factual,fact_0287,Seasons are caused by,earth's movement pattern,a weather system
flan_t5,factual,fact_0288,"If a fox shuffles off the mortal coil, then that fox",ceases to exist,is a fox.
flan_t5,factual,fact_0289,"A beaver is building a home in a river, and that eventually blocks up the river, giving the beaver a nice home. A side effect of the beaver's new home is",freshwater body,the beaver's home is a nice place to live.
flan_t5,factual,fact_0290,A remote device may be powered by,a gusting breeze,a battery
flan_t5,factual,fact_0291,What shows that animals learn behaviors by watching their parents?,kittens groom their faces because their mother licked their faces,a frog watching its parents
flan_t5,factual,fact_0292,ultraviolet light is found in light from where,the flaming ball of gas we orbit,a ray
